t,target_nn,target_mu,n_z_g,alpha_deg,elevator,throttle,aileron,rudder,q_rps,p_rps,roll_deg,pitch_deg,alt_m,airspeed_mps,thrust_lbs,mach
0.0,1.0,0.0,-0.618657903909689,0.017396693285124516,-0.15045830962972934,0.8000000000000126,0.0,2.1116223860276913e-17,0.00026066682979453945,-7.495697404216026e-09,-3.7299120028728544e-11,3.0884596155295855e-05,3048.0000080890777,180.14646057456048,18870.73421522246,0.6292973711847735
0.08333333333333333,1.0,0.0,-0.829384130126773,0.14744146625050364,-0.3892038145223226,0.8,-3.308686709546649e-07,2.0604267094224062e-05,0.026229846792222015,-4.3813475698044305e-06,-7.098778979056523e-06,0.061910970912727493,3047.9836710162344,180.58962351329203,18876.617467653043,0.6308053292802006
0.16666666666666666,1.0,0.0,-1.07956154264845,0.3708121661266297,0.22933982044129542,0.8,-1.5859033381985614e-06,4.033805524226222e-05,0.05515790699106436,-1.0380118287273555e-05,-3.912324105637916e-05,0.24324204617490483,3047.9507698972106,181.0281132454431,18882.465586267448,0.6322965263742187
0.25,1.0,0.0,-1.0764329998263498,0.6784356701573311,0.3095147866816667,0.8,-3.7370299216095876e-06,5.91176270003648e-05,0.07672799532068177,-1.7810739420538376e-05,-0.00010204110911689314,0.5386361986693307,3047.9093582795354,181.4653331416436,18888.31233733436,0.6337828426894174
0.3333333333333333,1.0,0.0,-1.0938116055964362,1.0493421262348754,-0.2259114309902,0.8,-7.094260571271308e-06,7.695602178491793e-05,0.09114385213675963,-2.7897477670381274e-05,-0.00020478387049644754,0.9335032118206498,3047.86964190495,181.89747283017908,18894.09299257755,0.6352516903504258
0.4166666666666667,1.0,0.0,-1.270534351626903,1.4350392760928947,-0.25932509588262703,0.8,-1.2156288531411559e-05,9.385548214050532e-05,0.08916488225356316,-4.198221965887474e-05,-0.0003624288232283767,1.3783896188175,3047.84269348172,182.32549072995292,18899.80472183098,0.6367067460097092
0.5,1.0,0.0,-1.4703698358633928,1.770249610697037,0.20547557175375392,0.8,-1.9589319855647012e-05,0.00010979916381692138,0.08546097220095727,-6.130631073985363e-05,-0.0005963295016559092,1.8045175969923015,3047.8386682482183,182.74529425366984,18905.378970777252,0.6381344747119936
0.5833333333333334,1.0,0.0,-1.4224110383276538,2.0257843086347256,0.37658234419183734,0.8,-3.0223125717446417e-05,0.0001247593108518268,0.06887362842898014,-8.722885913371313e-05,-0.000933968152334867,2.1702378338583452,3047.865382998848,183.16238789571875,18910.877720749566,0.639553901212858
0.6666666666666666,1.0,0.0,-1.336885358679829,2.1923026776004413,-0.19823611144136982,0.8,-4.510020251962639e-05,0.00013871199295031487,0.048497658870377804,-0.00012152475689133586,-0.00141005813670796,2.459909818404172,3047.928164304829,183.57296773003432,18916.242930166914,0.6409522998289915
0.75,1.0,0.0,-1.5111748095097801,2.2753340404576226,-0.23531489910205472,0.8,-6.55699195035934e-05,0.00015163065322265922,0.034932800556108604,-0.00016677093449306562,-0.002069203788104801,2.675493367618685,3048.030498005578,183.97775472670938,18921.48619335218,0.6423322678709962
0.8333333333333334,1.0,0.0,-1.6657689156469127,2.2931010661505145,0.33956406224437446,0.8,-9.343757321634615e-05,0.00016348387728792066,0.02806148958997513,-0.00022659965375077014,-0.002970278931445527,2.82869884747434,3048.174197104758,184.37611880971454,18926.61554575853,0.6436917473657298
0.9166666666666666,1.0,0.0,-1.507621275500591,2.264905408725159,0.37325088138352913,0.8,-0.00013113232990612437,0.00017423436394245595,0.016934341297106286,-0.00030601726444157346,-0.004192059034104726,2.9307602325289124,3048.3591172763768,184.77578958856165,18931.717221919997,0.6450570195440648
1.0,1.0,0.0,-1.3290323067942504,2.194385679845035,-0.21545418505300845,0.8,-0.0001819292197200717,0.00018383546097040505,0.001518976874154442,-0.0004119105321720544,-0.0058405713474795826,2.982062718593183,3048.5835318816394,185.17344848157683,18936.74903618327,0.6464167492269893
1.0833333333333333,1.0,0.0,-1.4305792976981109,2.0813186140763356,-0.26438730124629983,0.8,-0.0002502463531608582,0.00019223440375933256,-0.0073818340237878826,-0.0005535991840752223,-0.008059021635157778,2.9825742388203964,3048.844936801502,185.56923432218508,18941.7156683531,0.6477713248792011
1.1666666666666667,1.0,0.0,-1.5259566802118005,1.938883598903971,0.29992700341598033,0.8,-0.00034206944652013014,0.00019938615940573798,-0.009886610450410864,-0.0007437042043549892,-0.011041130764609398,2.94222836302987,3049.1401955245615,185.96201302191324,18946.605576599926,0.6491167859958429
1.25,1.0,0.0,-1.3152633902342494,1.7818178223461092,0.32607490971260766,0.8,-0.0004655076194075658,0.00020526871780700555,-0.0171271449424724,-0.000999337505872213,-0.01504902509178957,2.8705045903926005,3049.4651134167734,186.35915731757413,18951.52185797757,0.650478028768975
1.3333333333333333,1.0,0.0,-1.094785073423125,1.6093836433264275,-0.26920445500182283,0.8,-0.0006315264571352334,0.00020989662321702383,-0.02910345374316488,-0.00134372948669571,-0.020437319141623164,2.7658853743498963,3049.8147004166276,186.75687052692084,18956.419730071615,0.6518419709299675
