t,action,dist,ata,p_alt,p_spd,p_hdg,p_roll,t_alt,t_spd,t_hdg,p_n,p_e
0.1,1,1347.487364222826,-4.395332314811063,3052.8452533007116,216.1497489184314,90.00643652050543,0.001716155525213769,3038.1858103877753,168.85549003974563,90.01034707791447,-0.033487445425057244,-843.5418250945598
0.2,1,1342.7792382550097,-4.65596163116163,3053.78767023612,216.34470322417758,90.00670038181974,0.0017492111208260743,3038.007896987781,169.2009919170968,90.01016641842008,-0.03599199358910661,-821.9122085153986
0.3,1,1338.0858946327662,-4.926526553762652,3054.8170878079177,216.56384791214236,90.00696550006617,0.0017840241369198985,3037.8653914204,169.52746973340936,90.01077439262197,-0.038599032883008734,-800.2614256584592
0.4,1,1333.4050984477083,-5.178523157960204,3055.9352409074845,216.79499683012722,90.00723075238099,0.0018213589609356875,3037.7572846969842,169.86447142124157,90.01142521067167,-0.04130919149371348,-778.5877389798452
0.5,1,1328.7329521932988,-5.439759725249893,3057.141761813352,217.05768946454884,90.00749678367127,0.0018616813792662773,3037.690563112119,170.18354316812847,90.01055442013762,-0.044123175237694205,-756.8886882463677
0.6,1,1324.0678472377024,-5.681416414039309,3058.4376717261316,217.33593789943953,90.00776242554987,0.0019054157527361264,3037.662102548039,170.4790236929926,90.01213442407594,-0.04704153561373801,-735.1620976078265
0.7,1,1319.4062620234633,-5.931214244386792,3059.8219007540524,217.6473992457926,90.00802837821188,0.0019527506539031448,3037.6705680106047,170.8139400418686,90.01241521114352,-0.05006488745839559,-713.4053007711257
0.8,1,1314.7438904670512,-6.159683722483393,3061.294777243942,217.97498080787,90.00829343029933,0.002003931083007581,3037.7283418120087,171.08374872482798,90.01024412313858,-0.05319367251186886,-691.6160402347092
0.9,1,1310.0807633137301,-6.395389352793734,3062.8545450336906,218.33613096253734,90.00855833903668,0.0020590274455826916,3037.8181835256637,171.39028100788585,90.01467438963047,-0.056428398345944375,-669.7916149837969
1.0,1,1305.4101001086105,-6.608076231770279,3064.500861704609,218.71407044185227,90.00882183687384,0.002118207337450623,3037.9574830603124,171.68569129510257,90.01273192492562,-0.059769395661994094,-647.9297091037416
1.1,1,1300.7321809016798,-6.8266846216753825,3066.2313064458403,219.1264065657446,90.00908474266109,0.0021815417152106636,3038.135643558687,171.94266709973283,90.00859438292179,-0.06321707239187063,-626.0275363458331
1.2,1,1296.0428778059131,-7.021155896148368,3068.0448657995316,219.5543571644703,90.00934571494277,0.0022491862438308954,3038.353023454124,172.2327918280975,90.0208817927769,-0.0667716253937347,-604.0828428056161
1.3,1,1291.335797082825,-7.219375877428408,3069.9384314048143,220.01501634855686,90.00960563816761,0.002321099998658081,3038.6275459985377,172.47351192510564,90.00979427877371,-0.070433314391631,-582.093010328538
1.4,1,1286.6122909096769,-7.392248612617401,3071.910321324018,220.49069133438462,90.00986309096312,0.00239731505668477,3038.9390995220842,172.7276517211972,90.00681290429198,-0.07420218605444526,-560.0558740073025
1.5,1,1281.870634399942,-7.5686191936599645,3073.9567253722876,220.99159623881383,90.01011903990026,0.0024778091304248216,3039.280431941986,173.03491302621774,90.02897072486367,-0.07807829095019908,-537.9692639961189
1.6,1,1277.109063583393,-7.71918853031868,3076.075082125756,221.4817241160028,90.01037197576302,0.002562095582342278,3039.661949057043,173.2732307443502,89.99988154955159,-0.08206112744907722,-515.8332464187282
1.7,1,1272.3303301707845,-7.874787227854622,3078.2607473650396,221.97851959569502,90.01062301980541,0.0026487244643878184,3040.0663110190453,173.54984639678463,90.02273741699729,-0.08615019825194531,-493.6478292454526
1.8,1,1267.5302511424516,-8.005461074980508,3080.5106663154334,222.4645463078346,90.01087069348125,0.002736911634423632,3040.509898709482,173.81696122318803,90.01845623764841,-0.09034478724023484,-471.4134292482874
1.9,1,1262.711973631475,-8.14215154985119,3082.8198573213012,222.95782482246486,90.01111628682087,0.002826366753940094,3040.9821584177525,174.03952481246242,90.0022135053045,-0.09464429700528938,-449.1299965323428
2.0,1,1257.8736678431762,-8.254610803303002,3085.1850148260983,223.44077492020241,90.011358208679,0.0029169269519146515,3041.481524383915,174.3180402938294,90.03321544976491,-0.09904790204396076,-426.79789874620417
2.1,1,1253.0136063719985,-8.372839640130623,3087.6009452923627,223.93150673754224,90.01159785995316,0.0030084737708145266,3042.0194103405656,174.52788071602984,90.00212779789534,-0.103554905223528,-404.41703684865587
2.2,1,1248.1325050302999,-8.466675279818576,3090.0641751255694,224.41231837541108,90.01183354591294,0.003100970893285781,3042.588587066451,174.74070454917268,90.02171098593328,-0.10816437256181188,-381.9877331112738
2.3,1,1243.2277441197364,-8.565779737273987,3092.569347000334,224.90142334833607,90.01206677478524,0.003194409330856335,3043.192269274959,174.99390113640067,90.02416108069555,-0.11287550978699301,-359.50984150169046
2.4,1,1238.300982066433,-8.639939577475255,3095.112841822064,225.38101236286073,90.01229573404581,0.003288812289245678,3043.8286694480184,175.18267580485295,90.00140296955522,-0.11768727051431496,-336.98363966013324
2.5,1,1233.3532041113117,-8.719564734862226,3097.689139542523,225.86941170398552,90.01252203549751,0.0033842312820166337,3044.483662780094,175.43546473275205,90.03373288440706,-0.12259875816498318,-314.4089342483591
2.6,1,1228.3813079410822,-8.773117073105404,3100.294461122757,226.3487145934588,90.01274373767211,0.00348072646866651,3045.1711708528433,175.64423532473725,90.01012043882389,-0.12760880693626794,-291.7859569916676
2.7,1,1223.3895795963103,-8.831877187078407,3102.9230953357014,226.83736691984123,90.01296255337108,0.003578391535857661,3045.870668806252,175.85806312470686,90.01482382392393,-0.132716405853798,-269.1144651952478
