step,p0_N,p0_E,p0_D,p1_N,p1_E,p1_D,t0_N,t0_E,t0_D
103,-4504,1252,3104,-3422,-1794,1544,-5532,-892,3019
104,-4557,1277,3106,-3435,-1846,1529,-5575,-899,3025
105,-4609,1302,3108,-3447,-1898,1515,-5618,-907,3031
106,-4662,1327,3111,-3459,-1950,1503,-5661,-914,3036
107,-4715,1352,3114,-3471,-2002,1491,-5704,-922,3041
108,-4768,1377,3117,-3484,-2054,1481,-5747,-929,3045
109,-4820,1402,3119,-3498,-2106,1472,-5790,-936,3048
110,-4873,1427,3122,-3513,-2158,1462,-5833,-944,3050
111,-4926,1452,3124,-3529,-2209,1454,-5876,-951,3051
112,-4979,1478,3127,-3545,-2261,1445,-5919,-959,3051
113,-5033,1503,3129,-3561,-2312,1436,-5963,-966,3050
114,-5086,1528,3132,-3577,-2364,1428,-6006,-974,3049
115,-5139,1553,3135,-3594,-2415,1419,-6049,-981,3046
116,-5193,1578,3138,-3612,-2466,1410,-6093,-988,3042
117,-5246,1602,3142,-3632,-2517,1401,-6136,-996,3037
118,-5300,1627,3146,-3653,-2567,1391,-6180,-1003,3032
119,-5353,1652,3150,-3675,-2618,1382,-6223,-1011,3025
120,-5406,1676,3154,-3698,-2669,1373,-6267,-1019,3017
121,-5460,1701,3158,-3721,-2719,1363,-6311,-1026,3009
122,-5513,1725,3163,-3745,-2770,1354,-6355,-1034,3000
123,-5567,1749,3167,-3769,-2821,1346,-6399,-1041,2991
124,-5620,1774,3171,-3793,-2872,1338,-6443,-1049,2982
125,-5674,1798,3175,-3817,-2923,1331,-6488,-1057,2972
126,-5727,1822,3180,-3843,-2973,1324,-6532,-1064,2964
127,-5781,1846,3185,-3870,-3023,1318,-6577,-1072,2955
128,-5834,1870,3190,-3897,-3073,1311,-6622,-1080,2947
129,-5888,1895,3195,-3923,-3123,1305,-6667,-1088,2940
130,-5941,1919,3200,-3949,-3173,1298,-6712,-1095,2934
131,-5995,1944,3206,-3977,-3223,1291,-6757,-1103,2929
132,-6048,1968,3212,-4003,-3274,1284,-6802,-1111,2925
133,-6102,1992,3218,-4030,-3324,1276,-6847,-1119,2922
134,-6155,2017,3224,-4058,-3375,1268,-6892,-1126,2919
135,-6208,2041,3230,-4088,-3424,1260,-6937,-1134,2918
136,-6262,2065,3237,-4118,-3474,1252,-6983,-1142,2918
137,-6315,2090,3244,-4147,-3525,1244,-7028,-1150,2918
138,-6368,2114,3252,-4176,-3576,1235,-7073,-1158,2920
139,-6421,2139,3258,-4206,-3627,1226,-7118,-1165,2923
140,-6475,2163,3265,-4236,-3677,1216,-7164,-1173,2926
141,-6528,2187,3272,-4267,-3728,1207,-7209,-1181,2931
142,-6581,2211,3279,-4299,-3778,1198,-7254,-1189,2936
143,-6634,2235,3285,-4333,-3828,1188,-7299,-1196,2943
144,-6688,2258,3292,-4367,-3877,1179,-7344,-1204,2950
145,-6741,2281,3297,-4400,-3927,1170,-7390,-1212,2958
146,-6795,2305,3302,-4433,-3978,1160,-7435,-1220,2968
147,-6849,2328,3307,-4467,-4028,1150,-7480,-1227,2978
