step,p0_N,p0_E,p0_D,p1_N,p1_E,p1_D,t0_N,t0_E,t0_D
408,-20362,1029,3259,-19853,-6908,1795,-19613,-3335,2859
409,-20404,990,3261,-19916,-6894,1798,-19660,-3343,2882
410,-20446,952,3264,-19978,-6879,1801,-19707,-3351,2906
411,-20488,913,3265,-20041,-6865,1805,-19753,-3359,2931
412,-20530,874,3267,-20104,-6850,1808,-19800,-3367,2957
413,-20572,836,3268,-20166,-6836,1811,-19846,-3375,2983
414,-20615,797,3268,-20229,-6821,1814,-19892,-3383,3010
415,-20658,759,3268,-20292,-6807,1817,-19938,-3391,3037
416,-20701,721,3268,-20354,-6792,1820,-19983,-3399,3064
417,-20743,683,3267,-20417,-6778,1823,-20029,-3406,3090
418,-20787,645,3266,-20480,-6763,1826,-20074,-3414,3115
419,-20830,607,3265,-20543,-6748,1829,-20119,-3422,3140
420,-20873,569,3263,-20606,-6734,1833,-20164,-3430,3164
421,-20916,531,3261,-20668,-6719,1836,-20208,-3437,3187
422,-20959,494,3259,-20731,-6704,1840,-20252,-3445,3209
423,-21002,456,3256,-20794,-6689,1843,-20297,-3453,3230
424,-21046,418,3253,-20856,-6675,1847,-20341,-3460,3251
425,-21089,380,3250,-20919,-6660,1851,-20384,-3468,3270
426,-21132,342,3247,-20981,-6646,1854,-20428,-3475,3288
427,-21175,304,3243,-21044,-6631,1858,-20471,-3483,3305
428,-21218,265,3240,-21106,-6616,1862,-20515,-3490,3322
429,-21261,227,3236,-21169,-6601,1865,-20558,-3498,3337
430,-21303,188,3232,-21231,-6586,1869,-20601,-3505,3352
431,-21345,149,3229,-21294,-6572,1873,-20644,-3513,3365
432,-21387,110,3225,-21356,-6557,1877,-20686,-3520,3377
433,-21429,70,3221,-21419,-6542,1880,-20729,-3527,3389
434,-21471,31,3218,-21481,-6527,1884,-20771,-3535,3399
435,-21512,-9,3214,-21544,-6512,1889,-20814,-3542,3408
436,-21554,-49,3210,-21606,-6498,1893,-20856,-3550,3417
437,-21595,-89,3206,-21668,-6483,1897,-20899,-3557,3424
438,-21636,-129,3202,-21730,-6468,1901,-20941,-3564,3430
439,-21676,-169,3198,-21792,-6453,1905,-20983,-3572,3435
440,-21717,-210,3194,-21855,-6438,1909,-21025,-3579,3440
441,-21757,-251,3190,-21917,-6423,1914,-21067,-3586,3443
442,-21797,-291,3186,-21979,-6409,1918,-21109,-3594,3445
443,-21838,-332,3182,-22041,-6394,1922,-21151,-3601,3447
444,-21878,-373,3177,-22103,-6379,1926,-21193,-3609,3447
445,-21918,-414,3172,-22165,-6364,1930,-21236,-3616,3446
446,-21958,-456,3167,-22227,-6349,1934,-21278,-3623,3444
447,-21997,-497,3162,-22290,-6334,1938,-21320,-3631,3442
448,-22037,-539,3157,-22352,-6320,1942,-21362,-3638,3438
449,-22076,-581,3152,-22414,-6305,1946,-21404,-3646,3433
450,-22115,-623,3147,-22476,-6290,1950,-21446,-3653,3427
451,-22154,-666,3142,-22538,-6275,1954,-21489,-3661,3421
452,-22193,-708,3137,-22600,-6260,1958,-21531,-3668,3413
453,-22231,-751,3132,-22662,-6245,1963,-21573,-3676,3404
454,-22269,-794,3127,-22724,-6230,1969,-21616,-3684,3395
455,-22307,-838,3122,-22786,-6215,1975,-21658,-3691,3384
456,-22345,-881,3118,-22848,-6199,1981,-21701,-3699,3372
457,-22382,-925,3113,-22909,-6184,1988,-21744,-3707,3359
458,-22420,-968,3107,-22970,-6169,1994,-21787,-3714,3346
459,-22457,-1012,3103,-23032,-6153,2001,-21830,-3722,3331
460,-22494,-1057,3098,-23093,-6137,2008,-21873,-3730,3315
461,-22530,-1101,3093,-23154,-6122,2015,-21916,-3738,3298
462,-22566,-1146,3089,-23216,-6106,2022,-21960,-3746,3280
463,-22602,-1191,3085,-23277,-6090,2030,-22003,-3754,3262
464,-22638,-1237,3081,-23338,-6074,2038,-22047,-3762,3242
465,-22674,-1282,3076,-23399,-6058,2047,-22091,-3770,3221
466,-22710,-1328,3072,-23460,-6041,2056,-22135,-3778,3199
467,-22745,-1374,3069,-23521,-6026,2065,-22179,-3786,3176
468,-22780,-1421,3065,-23582,-6010,2074,-22224,-3795,3153
469,-22816,-1467,3061,-23642,-5993,2083,-22268,-3803,3128
470,-22851,-1514,3058,-23703,-5977,2091,-22313,-3811,3102
471,-22887,-1561,3053,-23764,-5961,2099,-22358,-3820,3075
472,-22923,-1607,3049,-23825,-5945,2107,-22403,-3829,3047
473,-22959,-1654,3044,-23885,-5929,2115,-22449,-3837,3019
474,-22995,-1700,3039,-23946,-5913,2123,-22495,-3846,2989
475,-23031,-1747,3034,-24007,-5896,2131,-22541,-3855,2959
476,-23067,-1794,3029,-24067,-5880,2140,-22587,-3863,2930
477,-23103,-1841,3024,-24127,-5863,2149,-22633,-3872,2900
478,-23138,-1889,3019,-24187,-5845,2159,-22680,-3881,2871
479,-23173,-1936,3015,-24247,-5828,2169,-22727,-3889,2843
480,-23208,-1984,3011,-24306,-5810,2179,-22775,-3898,2815
481,-23243,-2032,3008,-24366,-5793,2188,-22822,-3907,2788
482,-23277,-2081,3004,-24425,-5775,2198,-22870,-3915,2762
483,-23312,-2129,3001,-24484,-5758,2207,-22918,-3924,2736
484,-23346,-2178,2998,-24543,-5742,2216,-22966,-3932,2712
485,-23380,-2227,2994,-24602,-5724,2225,-23015,-3941,2688
486,-23415,-2276,2991,-24661,-5707,2233,-23063,-3950,2665
487,-23449,-2325,2987,-24719,-5691,2241,-23112,-3959,2643
488,-23484,-2374,2984,-24778,-5675,2248,-23161,-3967,2622
489,-23518,-2423,2980,-24836,-5657,2255,-23210,-3976,2601
490,-23552,-2472,2976,-24894,-5639,2263,-23260,-3985,2582
491,-23586,-2522,2972,-24952,-5621,2270,-23309,-3993,2563
492,-23620,-2571,2968,-25010,-5602,2278,-23359,-4002,2545
493,-23654,-2621,2964,-25067,-5583,2286,-23408,-4011,2529
494,-23688,-2670,2960,-25125,-5565,2293,-23458,-4020,2513
495,-23721,-2720,2956,-25183,-5544,2301,-23508,-4028,2498
496,-23754,-2770,2953,-25240,-5524,2308,-23559,-4037,2484
497,-23787,-2821,2949,-25298,-5504,2316,-23609,-4046,2471
498,-23820,-2871,2944,-25355,-5484,2324,-23659,-4055,2459
499,-23853,-2922,2940,-25413,-5465,2332,-23709,-4064,2448
